                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0525,                0.97604,                 1.2667,                0.85406,                0.64765,                 0.7609,                0.58562,                 1.0529,                 1.0437,                  1.387,               0.007756,               0.007756,               0.007756
                     36,                0.92108,                0.80773,                 1.1838,                0.63352,                0.60451,                0.64069,                0.48569,                 1.0809,                 1.2504,                 1.4917,                0.00769,                0.00769,                0.00769
                     37,                 0.9938,                0.93592,                 1.2854,                0.56658,                 0.6307,                0.66784,                0.49766,                  1.099,                 1.1829,                 1.4744,               0.007624,               0.007624,               0.007624
                     38,                0.94882,                0.87927,                 1.2056,                0.77729,                0.66493,                0.72748,                0.52889,                 1.0447,                 1.2584,                 1.4428,               0.007558,               0.007558,               0.007558
                     39,                0.92169,                0.82031,                 1.1932,                0.73606,                0.69544,                0.71758,                0.51265,                0.98816,                 1.1093,                 1.3676,               0.007492,               0.007492,               0.007492
                     40,                0.92506,                0.78027,                 1.1986,                0.70518,                0.73606,                0.75147,                0.53681,                 1.0167,                 1.0546,                 1.4133,               0.007426,               0.007426,               0.007426
                     41,                0.96891,                0.82779,                 1.2053,                0.81119,                0.62816,                0.70777,                0.51169,                 1.0169,                 1.0726,                 1.3595,                0.00736,                0.00736,                0.00736
                     42,                0.96521,                0.80352,                 1.2176,                0.69659,                0.63821,                0.72822,                0.53807,                  1.101,                 1.1406,                 1.4685,               0.007294,               0.007294,               0.007294
                     43,                0.94395,                0.79177,                 1.2244,                0.69677,                0.73522,                0.76331,                0.54779,                 1.1457,                  1.127,                 1.4613,               0.007228,               0.007228,               0.007228
                     44,                0.93764,                0.79752,                 1.2313,                0.77242,                0.63391,                0.72211,                0.56299,                 0.9831,                 1.0343,                 1.3237,               0.007162,               0.007162,               0.007162
                     45,                0.95474,                0.84221,                 1.2337,                0.81078,                0.69942,                0.77569,                0.59455,                   1.06,                0.95383,                 1.3656,               0.007096,               0.007096,               0.007096
                     46,                  1.003,                0.88126,                 1.2562,                0.70866,                0.68751,                 0.7536,                0.57175,                 1.0869,                0.97884,                 1.4047,                0.00703,                0.00703,                0.00703
                     47,                 1.0186,                0.85306,                 1.2469,                0.75666,                0.68085,                0.74356,                0.57942,                0.96483,                 1.0098,                 1.2809,               0.006964,               0.006964,               0.006964
                     48,                0.92784,                0.74264,                 1.1931,                0.61997,                 0.7469,                 0.7547,                0.59177,                 0.9571,                 1.0149,                 1.2896,               0.006898,               0.006898,               0.006898
                     49,                0.96612,                0.79111,                 1.2251,                0.58753,                 0.7677,                0.75854,                0.58768,                0.93602,                 1.0063,                 1.2893,               0.006832,               0.006832,               0.006832
                     50,                0.99748,                 0.8089,                 1.2597,                0.65542,                0.66898,                0.70553,                0.55087,                0.91698,                 1.2388,                 1.2849,               0.006766,               0.006766,               0.006766
                     51,                0.92669,                0.80392,                 1.2201,                0.82005,                0.72226,                0.81129,                0.61401,                0.99284,                 1.0351,                  1.316,                 0.0067,                 0.0067,                 0.0067
                     52,                0.89679,                0.72959,                 1.1819,                 0.8145,                0.72232,                0.80626,                 0.6195,                0.88432,                0.98834,                 1.2565,               0.006634,               0.006634,               0.006634
                     53,                0.92894,                0.79529,                 1.2373,                0.74762,                0.80848,                 0.7568,                0.54539,                0.98011,                 1.1221,                 1.3327,               0.006568,               0.006568,               0.006568
                     54,                0.94195,                0.78075,                 1.2418,                0.71532,                0.75848,                0.79628,                0.60353,                0.97996,                  1.051,                 1.3538,               0.006502,               0.006502,               0.006502
                     55,                0.92072,                0.76738,                 1.2081,                0.83424,                0.73404,                0.79283,                0.62616,                0.89787,                 0.9882,                 1.2607,               0.006436,               0.006436,               0.006436
                     56,                0.88854,                0.77144,                 1.2117,                0.76631,                0.69804,                0.74954,                0.59406,                0.92008,                 1.0778,                 1.2715,                0.00637,                0.00637,                0.00637
                     57,                0.89531,                0.71425,                 1.1873,                0.79837,                0.68458,                 0.7343,                0.58698,                0.87244,                 1.1444,                 1.2739,               0.006304,               0.006304,               0.006304
                     58,                0.89107,                0.76516,                  1.173,                0.85237,                0.71049,                0.81394,                0.60724,                0.98645,                0.97782,                 1.3495,               0.006238,               0.006238,               0.006238
                     59,                0.86992,                0.71418,                 1.1825,                0.83239,                0.71236,                0.79106,                0.62122,                 1.0075,                0.90009,                 1.3798,               0.006172,               0.006172,               0.006172
                     60,                0.87493,                0.70078,                 1.1843,                0.77588,                0.66343,                0.70805,                0.56361,                0.97974,                  1.093,                 1.3953,               0.006106,               0.006106,               0.006106
                     61,                0.87896,                0.71973,                 1.1566,                0.63492,                0.58673,                0.63912,                0.50426,                0.99357,                 1.2084,                 1.4129,                0.00604,                0.00604,                0.00604
                     62,                0.87476,                0.71678,                  1.163,                0.57403,                0.73019,                0.67881,                 0.5085,                0.99788,                 1.2202,                 1.3955,               0.005974,               0.005974,               0.005974
                     63,                0.82299,                0.65833,                   1.15,                0.66927,                0.70623,                0.76773,                 0.5675,                0.98428,                 1.0743,                 1.3632,               0.005908,               0.005908,               0.005908
                     64,                0.83562,                0.71662,                 1.1616,                0.78967,                 0.7128,                0.77399,                0.58171,                 1.0228,                0.96433,                 1.4423,               0.005842,               0.005842,               0.005842
                     65,                0.88679,                0.67417,                 1.1794,                0.80987,                0.78065,                 0.7833,                0.55791,                  1.058,                0.92547,                  1.449,               0.005776,               0.005776,               0.005776
                     66,                0.87538,                0.70387,                 1.1904,                0.86231,                0.71234,                0.80433,                0.60043,                0.99627,                0.89328,                 1.4137,                0.00571,                0.00571,                0.00571
                     67,                 0.8608,                0.66171,                 1.1685,                0.91402,                 0.7107,                0.86137,                0.63169,                 1.0814,                0.82057,                 1.4606,               0.005644,               0.005644,               0.005644
                     68,                0.87179,                0.67253,                 1.1534,                0.70558,                0.76184,                0.77746,                0.58507,                0.98548,                0.98029,                 1.3567,               0.005578,               0.005578,               0.005578
                     69,                0.83367,                0.66497,                 1.1392,                0.83098,                 0.7395,                0.77675,                0.57757,                 1.0053,                 1.0122,                 1.3756,               0.005512,               0.005512,               0.005512
                     70,                0.78458,                0.65992,                  1.115,                0.79386,                0.86528,                0.84074,                0.62727,                 1.0202,                0.79008,                 1.3953,               0.005446,               0.005446,               0.005446
                     71,                0.83089,                0.67107,                  1.148,                0.78599,                0.77423,                0.77854,                0.59185,                 1.0126,                0.86058,                  1.437,                0.00538,                0.00538,                0.00538
                     72,                0.86557,                0.72961,                 1.1678,                0.71002,                0.73948,                0.72833,                 0.5616,                0.98776,                0.86829,                 1.4099,               0.005314,               0.005314,               0.005314
                     73,                0.82263,                0.69136,                 1.1227,                0.81719,                 0.7013,                0.75046,                0.58363,                 1.1009,                0.99226,                 1.5323,               0.005248,               0.005248,               0.005248
                     74,                0.78633,                0.62321,                 1.1229,                0.62894,                0.65865,                0.67407,                0.52256,                 1.0245,                  1.304,                 1.3952,               0.005182,               0.005182,               0.005182
                     75,                0.80078,                0.65992,                 1.1373,                0.74102,                 0.6844,                0.70662,                0.57622,                0.97477,                 1.1598,                 1.3589,               0.005116,               0.005116,               0.005116
                     76,                0.78432,                0.63008,                 1.1221,                0.76156,                0.63454,                0.73538,                0.58261,                0.94834,                 1.0333,                 1.3469,                0.00505,                0.00505,                0.00505
                     77,                0.78578,                0.60128,                 1.1179,                0.77613,                0.67305,                0.74025,                0.58497,                 0.8712,                0.84412,                 1.2335,               0.004984,               0.004984,               0.004984
                     78,                0.76124,                0.56823,                 1.0879,                0.80526,                0.69502,                0.79628,                0.63316,                0.87253,                0.84593,                 1.2166,               0.004918,               0.004918,               0.004918
                     79,                0.79108,                0.60701,                 1.0879,                0.83037,                0.70568,                0.80445,                 0.6445,                0.94518,                0.82792,                 1.3051,               0.004852,               0.004852,               0.004852
                     80,                0.78496,                0.63764,                 1.1142,                0.74458,                0.81245,                0.81189,                 0.6284,                0.91554,                0.79843,                 1.2971,               0.004786,               0.004786,               0.004786
                     81,                0.80286,                0.64015,                 1.1223,                0.73954,                0.74423,                0.76108,                0.59863,                0.95566,                 0.8833,                 1.3232,                0.00472,                0.00472,                0.00472
                     82,                0.80536,                0.63353,                 1.1319,                 0.6872,                0.75232,                0.75741,                0.59424,                 0.9792,                0.98191,                 1.3771,               0.004654,               0.004654,               0.004654
                     83,                 0.7762,                0.62461,                 1.1068,                 0.7174,                0.72834,                0.78603,                0.63083,                0.94304,                0.91899,                 1.3738,               0.004588,               0.004588,               0.004588
                     84,                0.78987,                0.63141,                 1.1307,                0.75734,                0.72097,                0.78764,                  0.633,                0.94836,                0.96471,                 1.3757,               0.004522,               0.004522,               0.004522
                     85,                0.77657,                0.59228,                 1.1232,                0.81974,                0.67963,                0.77873,                0.62375,                0.95986,                 1.1863,                 1.3663,               0.004456,               0.004456,               0.004456
